,Description,URL,GameName
71,"An epic story of family, vengeance and conspiracy set in the pristine, yet brutal, backdrop of a Renaissance Italy. New low price!",https://store.steampowered.com/app/33230/Assassins_Creed_2/,Assassin's Creed II
72,"The year is 1715. Pirates rule the Caribbean and have established their own lawless Republic where corruption, greediness and cruelty are commonplace.Among these outlaws is a brash young captain named Edward Kenway.",https://store.steampowered.com/app/242050/Assassins_Creed_IV_Black_Flag/,Assassin's Creed IV Black Flag
73,"Introducing Assassin’s Creed® Liberation HD, the striking chapter of the pre-American Revolution Assassin’s Creed saga which arrives for the first time on HD consoles and PC. With improved gameplay, a deeper story, and HD graphics, Liberation is an immersive and full Assassin’s Creed experience.The year is 1765.",https://store.steampowered.com/app/260210/Assassins_Creed_Liberation_HD/,Assassin's Creed Liberation
74,"Ezio Auditore walks in the footsteps of the legendary mentor Altair, on a dangerous journey of discovery and revelation.",https://store.steampowered.com/app/201870/Assassins_Creed_Revelations/,Assassin's Creed Revelations
75,"Introducing Assassin’s Creed® Rogue, the darkest chapter in the Assassin’s Creed franchise yet. As Shay, you will experience the slow transformation from Assassin to Assassin Hunter. Follow your own creed and set off on an extraordinary journey through New York City, the wild river valley, and far away to the icy cold waters of the North...",https://store.steampowered.com/app/311560/Assassins_Creed_Rogue/,Assassin's Creed Rogue
76,"London, 1868. In the heart of the Industrial Revolution, lead your underworld organization and grow your influence to fight those who exploit the less privileged in the name of progress",https://store.steampowered.com/app/368500/Assassins_Creed_Syndicate/,Assassin's Creed Syndicate
77,"Assassin’s Creed® Unity tells the story of Arno, a young man who embarks upon an extraordinary journey to expose the true powers behind the French Revolution. In the brand new co-op mode, you and your friends will also be thrown in the middle of a ruthless struggle for the fate of a nation.",https://store.steampowered.com/app/289650/Assassins_Creed_Unity/,Assassin's Creed Unity
78,"Relive the American Revolution or experience it for the first time in Assassin's Creed® III Remastered, with enhanced graphics and improved gameplay mechanics. Also includes Assassin's Creed Liberation remastered and all solo DLC content.",https://store.steampowered.com/app/911400/Assassins_Creed_III_Remastered/,Assassin's Creed® III
79,"Assetto Corsa v1.16 introduces the new ""Laguna Seca"" laser-scanned track, 7 new cars among which the eagerly awaited Alfa Romeo Giulia Quadrifoglio! Check the changelog for further info!",https://store.steampowered.com/app/244210/Assetto_Corsa/,Assetto Corsa
80,Climb into the cockpit of an otherworldly war machine and fly into battle against a horrifying alien race bent on eradicating humanity to preserve their own civilization.,https://store.steampowered.com/app/283680/Astebreed_Definitive_Edition/,Astebreed: Definitive Edition
81,"Recruit a team of fierce freelancers and experience rogue-lite gameplay like never before. The ever-new constellation of enemies, layouts and loot make every run unique. You’ll have to work together to survive together - so plan your moves wisely.",https://store.steampowered.com/app/1449540/Atlas_Rogues/,Atlas Reactor
82,"The zombie apocalypse is upon us and it's up to you to evacuate everyone before they fall prey to the undead. Conduct massive rescue operations with a helping hand from snipers, artillery crews, orbital bombardments, and more.",https://store.steampowered.com/app/55040/Atom_Zombie_Smasher/,Atom Zombie Smasher 
83,"An international hit anime ""Attack on Titan"" has come to Steam®! Battle is joined between the man-eating Titans and Eren and his companions. Experience the illusion of being in the anime, and controlling the flow of the story. The story from the anime, with a few original twists, is yours to experience!",https://store.steampowered.com/app/449800/Attack_on_Titan__AOT_Wings_of_Freedom/,Attack on Titan / A.O.T. Wings of Freedom
84,Block the beats! Audioshield puts you at the point of impact for every hit in your songs. Block incoming orbs with your shields and feel the music. Works with any song!,https://store.steampowered.com/app/412740/Audioshield/,Audioshield
85,Ride your music in more ways than ever before. Audiosurf 2 is the music game for your entire music collection. Hundreds of mods/skins on Workshop. Free demo available.,https://store.steampowered.com/app/235800/Audiosurf_2/,Audiosurf 2
86,"The popular dance and rhythm game, Audition Online, is available for Steam! Create your avatar and play on 20 different game modes.",https://store.steampowered.com/app/349720/Audition_Online/,Audition Online
87,"Aura Kingdom is a free-to-play Anime MMORPG featuring strong PVE elements, a uniquely detailed world, and an engaging, well-crafted story. Aura Kingdom empowers players as Envoys of Gaia, gifted individuals that take the role of one of the fifteen classes.",https://store.steampowered.com/app/268420/Aura_Kingdom/,Aura Kingdom
88,This content requires the base game Awesomenauts - the 2D moba on Steam in order to play.,https://store.steampowered.com/app/204303/Awesomenauts_Official_Soundtrack/,Awesomenauts
89,"They may be awkward dimensions, but they're my dreams...",https://store.steampowered.com/app/529110/Awkward_Dimensions_Redux/,Awkward Dimensions Redux
90,Explore and uncover the mystery of a surreal alien world by blasting aliens and glitching your environment in this intense retro side-scrolling action/adventure.,https://store.steampowered.com/app/332200/Axiom_Verge/,Axiom Verge
91,"A combination of platforming with a gravity gun, BEEP is an amazing physics-platformer. Despite its friendly art style, this is a hardcore platformer in the truest sense.",https://store.steampowered.com/app/104200/BEEP/,BEEP
92,"Runner2 is the sequel to the critically acclaimed and IGF award winning BIT.TRIP RUNNER. In the style of the BIT.TRIP series, Runner2 is a rhythm-music platforming game. Players will run through fantastic environments, using brand new moves, to brand new soundtracks as they run, jump, slide, kick, and soar toward the goal of tracking...",https://store.steampowered.com/app/218060/BITTRIP_Presents_Runner2_Future_Legend_of_Rhythm_Alien/,BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien
93,"CommanderVideo is back with BIT.TRIP RUNNER, the latest chapter on Steam in the award-winning and critically acclaimed BIT.TRIP series. Launch special: 10% off now thru Mar. 6th!",https://store.steampowered.com/app/63710/BITTRIP_RUNNER/,BIT.TRIP RUNNER
94,"The upgraded prequel of NieR:Automata. A kind young man sets out with Grimoire Weiss, a strange talking book, to search for the ""Sealed verses"" in order to save his sister Yonah, who fell terminally ill to the Black Scrawl.",https://store.steampowered.com/app/1113560/NieR_Replicant_ver122474487139/,BRINK
95,"7 Days to Die is an open-world game that is a unique combination of first-person shooter, survival horror, tower defense, and role-playing games. Play the definitive zombie survival sandbox RPG that came first. Navezgane awaits!",https://store.steampowered.com/app/251570/7_Days_to_Die/,Back to the Future: Ep 1 - It's About Time
96,"Bad Rats Show is a physics puzzle game where the rats exact their bloody revenge against their main enemies: the Cats. Solve puzzles in 2D and 3D maps using physics, objects and specially trained Rats. All new Rats and Cats, but with the same classic and questionable Bad Rats humor.",https://store.steampowered.com/app/393200/Bad_Rats_Show/,Bad Rats
97,Rediscover the beloved RPG classic— now enhanced for modern adventurers! Gather your party of heroes and continue the legendary adventure in this story-rich fantasy epic where every choice matters.,https://store.steampowered.com/app/257350/Baldurs_Gate_II_Enhanced_Edition/,Baldur's Gate II: Enhanced Edition
98,"The classic adventure returns! Baldur’s Gate: Enhanced Edition includes the original Baldur’s Gate adventure, the Tales of the Sword Coast expansion, and all-new content including three new party members.",https://store.steampowered.com/app/228280/Baldurs_Gate_Enhanced_Edition/,Baldur's Gate: Enhanced Edition
99,"In this city-building strategy game, you control a group of exiled travelers who decide to restart their lives in a new land. They have only the clothes on their backs and a cart filled with supplies from their homeland. The townspeople of Banished are your primary resource.",https://store.steampowered.com/app/242920/Banished/,Banished
100,"You play as Brad the barbarian, who is awoken to the sounds of his town under siege. Today is different though; Brad has grown tired of fighting all the time. The usual grind for XP has grown dull, and he has decided to pursue his dreams of making music instead of shedding blood.",https://store.steampowered.com/app/269490/Bardbarian/,Bardbarian
101,"Set out on a journey of survival and adventure, into the mysterious and dangerous Fae Realms of Nightingale! Become an intrepid Realmwalker, and venture forth alone or with friends - as you explore, craft, build and fight across a visually stunning Gaslamp Fantasy world.",https://store.steampowered.com/app/1928980/Nightingale/,Bastion
